Account_Num,Facility Name,Address,City,State,ZIP Code,County Name,Phone Number,Hospital Type,Hospital Ownership
74801,GRANITE COUNTY MEDICAL CENTER,310 SANSOME ST,PHILIPSBURG,MT,59858,GRANITE,(406) 859-3271,Critical Access Hospitals,Government - Hospital District or Authority
85201,BETH ISRAEL DEACONESS MEDICAL CENTER,330 BROOKLINE AVENUE,BOSTON,MA,2215,SUFFOLK,(617) 667-7000,Acute Care Hospitals,Voluntary non-profit - Private
39735,POMONA VALLEY HOSPITAL MEDICAL CENTER,1798 N GAREY AVE,POMONA,CA,91767,LOS ANGELES,(909) 865-9500,Acute Care Hospitals,Voluntary non-profit - Private
73707,HEARTLAND REGIONAL MEDICAL CENTER,3333 W DEYOUNG,MARION,IL,62959,WILLIAMSON,(618) 998-7000,Acute Care Hospitals,Proprietary
89846,SACRED HEART HOSPITAL ON THE EMERALD COAST,7800 US HWY 98 W,MIRAMAR BEACH,FL,32550,WALTON,(850) 278-3600,Acute Care Hospitals,Voluntary non-profit - Other
87228,ST VINCENT HEALTHCARE,1233 N 30TH ST,BILLINGS,MT,59101,YELLOWSTONE,(406) 657-7000,Acute Care Hospitals,Voluntary non-profit - Church
40289,SPECTRUM HEALTH ZEELAND COMMUNITY HOSPITAL,8333 FELCH ST,ZEELAND,MI,49464,OTTAWA,(616) 772-4644,Acute Care Hospitals,Voluntary non-profit - Private
82334,WILLS EYE HOSPITAL,840 WALNUT STREET,PHILADELPHIA,PA,19107,PHILADELPHIA,(215) 440-3100,Acute Care Hospitals,Voluntary non-profit - Private
13455,FIELD HEALTH SYSTEM,178 HIGHWAY 24,CENTREVILLE,MS,39631,WILKINSON,(601) 890-0500,Critical Access Hospitals,Government - Local
14622,ELMIRA PSYCH CENTER,WASHINGTON ST,ELMIRA,NY,14901,CHEMUNG,(607) 737-4739,Psychiatric,Government - State
44710,FAYETTE COUNTY HOSPITAL,7TH AND TAYLOR,VANDALIA,IL,62471,FAYETTE,(618) 283-1231,Critical Access Hospitals,Voluntary non-profit - Other
68316,LIBERTY DAYTON REGIONAL MEDICAL CENTER,1353 N TRAVIS ST,LIBERTY,TX,77575,LIBERTY,(936) 336-7316,Critical Access Hospitals,Government - Hospital District or Authority
72406,MANIILAQ HEALTH CENTER,PO BOX 43,KOTZEBUE,AK,99752,NORTHWEST ARTIC BOROUGH,(907) 442-3321,Critical Access Hospitals,Tribal
42756,OCEANS BEHAVIORAL HOSPITAL OF ALEXANDRIA,2621 NORTH BOLTON AVENUE,ALEXANDRIA,LA,71303,RAPIDES,(318) 448-8473,Psychiatric,Proprietary
50666,HARRISON COUNTY COMMUNITY HOSPITAL,2600 MILLER STREET,BETHANY,MO,64424,HARRISON,(660) 425-0284,Critical Access Hospitals,Government - Hospital District or Authority
20060,GREAT RIVER MEDICAL CENTER,1520 N DIVISION STREET,BLYTHEVILLE,AR,72315,MISSISSIPPI,(870) 838-7300,Acute Care Hospitals,Government - Local
39631,OSF HOLY FAMILY MEDICAL CENTER,1000 W HARLEM AVENUE,MONMOUTH,IL,61462,WARREN,(309) 734-3141,Critical Access Hospitals,Voluntary non-profit - Church
55671,MAIMONIDES MEDICAL CENTER,4802 TENTH AVENUE,BROOKLYN,NY,11219,KINGS,(718) 283-6000,Acute Care Hospitals,Voluntary non-profit - Private
66323,FISHER COUNTY HOSPITAL DISTRICT,774 STATE HIGHWAY 70 N,ROTAN,TX,79546,FISHER,(325) 735-2256,Critical Access Hospitals,Government - Hospital District or Authority
13487,WAYNE COUNTY HOSPITAL,166 HOSPITAL STREET,MONTICELLO,KY,42633,WAYNE,(606) 348-9343,Critical Access Hospitals,Voluntary non-profit - Private
10493,PROVIDENCE HOLY CROSS MEDICAL CENTER,15031 RINALDI ST,MISSION HILLS,CA,91346,LOS ANGELES,(818) 365-8051,Acute Care Hospitals,Voluntary non-profit - Church
42078,KONA COMMUNITY HOSPITAL,79-1019 HAUKAPILA STREET,KEALAKEKUA,HI,96750,HAWAII,(808) 322-9311,Acute Care Hospitals,Government - State
24555,THE HEALTHCENTER,320 SUNNYVIEW LANE,KALISPELL,MT,59901,FLATHEAD,(406) 756-4720,Acute Care Hospitals,Proprietary
14383,RENOWN SOUTH MEADOWS MEDICAL CENTER,10101 DOUBLE R BLVD,RENO,NV,89521,WASHOE,(775) 982-7063,Acute Care Hospitals,Voluntary non-profit - Private
60258,MARSHALL MEDICAL CENTERS SOUTH CAMPUS,2505 U S HIGHWAY 431 NORTH,BOAZ,AL,35957,MARSHALL,(256) 593-8310,Acute Care Hospitals,Government - Hospital District or Authority
18105,THE MEDICAL CENTER OF SOUTHEAST TEXAS,2555 JIMMY JOHNSON BLVD,PORT ARTHUR,TX,77640,JEFFERSON,(409) 853-5900,Acute Care Hospitals,Physician
50746,MEDICAL BEHAVIORAL HOSPITAL - MISHAWAKA,1625 EAST JEFFERSON BLVD,MISHAWAKA,IN,46545,ST. JOSEPH,(574) 485-1703,Psychiatric,Proprietary
56567,BEAVER DAM COMMUNITY HOSPITAL,707 S UNIVERSITY AVE,BEAVER DAM,WI,53916,DODGE,(920) 887-7181,Acute Care Hospitals,Voluntary non-profit - Private
28556,CHRISTUS MOTHER FRANCES HOSPITAL- WINNSBORO,719 WEST COKE ROAD,WINNSBORO,TX,75494,WOOD,(903) 342-5227,Critical Access Hospitals,Voluntary non-profit - Private
10899,HARNEY DISTRICT HOSPITAL,557 W WASHINGTON STREET,BURNS,OR,97720,HARNEY,(541) 573-7281,Critical Access Hospitals,Government - Hospital District or Authority
60465,MEMORIAL HOSPITAL,715 SOUTH TAFT AVENUE,FREMONT,OH,43420,SANDUSKY,(419) 334-6617,Acute Care Hospitals,Voluntary non-profit - Other
31274,EMANUEL MEDICAL CENTER,117 KITE ROAD,SWAINSBORO,GA,30401,EMANUEL,(478) 289-1304,Acute Care Hospitals,Government - Hospital District or Authority
72343,MOCCASSIN BEND MENTAL HEALTH INSTITUTE,100 MOCCASIN BEND ROAD,CHATTANOOGA,TN,37405,HAMILTON,(423) 785-2271,Psychiatric,Government - State
84799,1st Medical Group (Langley AFB),633 MDG 77 Nealy Ave,Langley,VA,23665,HAMPTON CITY,(757) 225-7630,Acute Care - Department of Defense,Department of Defense
59224,BURGESS HEALTH CENTER,1600 DIAMOND STREET,ONAWA,IA,51040,MONONA,(712) 423-2311,Critical Access Hospitals,Voluntary non-profit - Private
64455,ST LUKE'S ELMORE MEDICAL CENTER,895 NORTH 6TH EAST,MOUNTAIN HOME,ID,83647,ELMORE,(208) 587-8401,Critical Access Hospitals,Voluntary non-profit - Private
24325,MERCY HOSPITAL TURNER MEMORIAL,801 WEST RIVER STREET,OZARK,AR,72949,FRANKLIN,(479) 667-4138,Critical Access Hospitals,Voluntary non-profit - Private
31883,MERCY HEALTH - SPRINGFIELD REGIONAL MEDICAL CENTER,100 MEDICAL CENTER DRIVE,SPRINGFIELD,OH,45504,CLARK,(937) 523-1000,Acute Care Hospitals,Voluntary non-profit - Private
78598,PARRISH MEDICAL CENTER,951 N WASHINGTON AVE,TITUSVILLE,FL,32796,BREVARD,(321) 268-6111,Acute Care Hospitals,Government - Hospital District or Authority
39670,BRISTOL REGIONAL MEDICAL CENTER,ONE MEDICAL PARK BLVD,BRISTOL,TN,37620,SULLIVAN,(423) 844-1121,Acute Care Hospitals,Government - Hospital District or Authority
19349,HILLCREST HOSPITAL,6780 MAYFIELD ROAD,MAYFIELD HEIGHTS,OH,44124,CUYAHOGA,(440) 312-4500,Acute Care Hospitals,Voluntary non-profit - Private
42309,NORTHERN WESTCHESTER HOSPITAL,400 EAST MAIN STREET,MOUNT KISCO,NY,10549,WESTCHESTER,(914) 666-1200,Acute Care Hospitals,Voluntary non-profit - Private
72925,ASCENSION BORGESS LEE HOSPITAL,420 W HIGH ST,DOWAGIAC,MI,49047,CASS,(269) 782-8681,Critical Access Hospitals,Voluntary non-profit - Church
23272,HOLY CROSS HOSPITAL,1500 FOREST GLEN ROAD,SILVER SPRING,MD,20910,MONTGOMERY,(301) 754-7000,Acute Care Hospitals,Voluntary non-profit - Church
21058,UPMC MERCY,1400 LOCUST STREET,PITTSBURGH,PA,15219,ALLEGHENY,(412) 232-8111,Acute Care Hospitals,Voluntary non-profit - Private
81842,DUPONT HOSPITAL LLC,2520 E DUPONT RD,FORT WAYNE,IN,46825,ALLEN,(260) 416-3000,Acute Care Hospitals,Proprietary
90719,"CORPUS CHRISTI MEDICAL CENTER,THE",6629 WOODRIDGE ROAD,CORPUS CHRISTI,TX,78414,NUECES,(361) 761-1501,Acute Care Hospitals,Proprietary
57118,WISE HEALTH SYSTEM,3200 NORTH TARRANT PARKWAY,FORT WORTH,TX,76177,TARRANT,(817) 502-7300,Acute Care Hospitals,Government - Hospital District or Authority
21002,TEXAS HEALTH CENTER FOR DIAGNOSTICS & SURGERY PLAN,6020 W PARKER ROAD,PLANO,TX,75093,COLLIN,(972) 403-2700,Acute Care Hospitals,Proprietary
92003,HUNTINGTON BEACH HOSPITAL,17772 BEACH BLVD,HUNTINGTON BEACH,CA,92647,ORANGE,(714) 843-5000,Acute Care Hospitals,Proprietary
88278,G WERBER BRYAN PSYCH HOSP,220 FAISON DR,COLUMBIA,SC,29203,RICHLAND,(803) 935-7143,Psychiatric,Government - State
87434,SAN DIMAS COMMUNITY HOSPITAL,1350 W COVINA BLVD,SAN DIMAS,CA,91773,LOS ANGELES,(909) 599-6811,Acute Care Hospitals,Proprietary
17809,PARADISE VALLEY HOSPITAL,2400 EAST 4TH ST,NATIONAL CITY,CA,91950,SAN DIEGO,(619) 470-4321,Acute Care Hospitals,Proprietary
